seller_id,user_id,am_name
326,2005,ivy.wang1
327,2005,ivy.wang1
76,17,julie.zhou
289,2005,ivy.wang1
337,2005,ivy.wang1
277,2005,ivy.wang1
95,2005,ivy.wang1
352,2005,ivy.wang1
449,2005,ivy.wang1
447,2005,ivy.wang1
504,2762,Celia.Liang
471,2762,Celia.Liang
482,2762,Celia.Liang
472,2762,Celia.Liang
509,2762,Celia.Liang
505,2762,Celia.Liang
441,2762,Celia.Liang
468,2762,Celia.Liang
455,2762,Celia.Liang
494,2762,Celia.Liang
51,2005,ivy.wang1
245,2005,ivy.wang1
245,2762,Celia.Liang
273,2005,ivy.wang1
507,2762,Celia.Liang
465,2762,Celia.Liang
464,2762,Celia.Liang
463,2762,Celia.Liang
457,2005,ivy.wang1
457,2762,Celia.Liang
456,2762,Celia.Liang
453,2762,Celia.Liang
434,2640,s24Wei.Ma
483,2762,Celia.Liang
423,2762,Celia.Liang
587,2762,Celia.Liang
566,2762,Celia.Liang
583,1310,hank.zhao
592,2762,Celia.Liang
473,2762,Celia.Liang
630,2005,ivy.wang1
630,2762,Celia.Liang
573,352,markinlqx
563,17,julie.zhou
557,352,markinlqx
557,17,julie.zhou
560,17,julie.zhou
328,2005,ivy.wang1
160,2005,ivy.wang1
251,2004,9YVchloe.deng
260,2004,9YVchloe.deng
262,2004,9YVchloe.deng
266,2004,9YVchloe.deng
266,2005,ivy.wang1
278,2004,9YVchloe.deng
279,2004,9YVchloe.deng
279,2005,ivy.wang1
291,2004,9YVchloe.deng
291,2005,ivy.wang1
406,2004,9YVchloe.deng
406,2005,ivy.wang1
409,2004,9YVchloe.deng
416,2004,9YVchloe.deng
53,2762,Celia.Liang
63,2762,Celia.Liang
80,2762,Celia.Liang
81,2762,Celia.Liang
82,2762,Celia.Liang
210,2762,Celia.Liang
422,2762,Celia.Liang
56,2762,Celia.Liang
77,2762,Celia.Liang
408,17,julie.zhou
412,17,julie.zhou
452,2762,Celia.Liang
458,2762,Celia.Liang
477,17,julie.zhou
478,2762,Celia.Liang
484,17,julie.zhou
497,2762,Celia.Liang
499,17,julie.zhou
499,2762,Celia.Liang
513,17,julie.zhou
513,2762,Celia.Liang
523,2762,Celia.Liang
540,17,julie.zhou
540,2762,Celia.Liang
561,17,julie.zhou
574,2762,Celia.Liang
574,7132,Ke3ashley.park
614,17,julie.zhou
614,2762,Celia.Liang
726,17,julie.zhou
727,17,julie.zhou
622,17,julie.zhou
623,17,julie.zhou
623,2762,Celia.Liang
717,2762,Celia.Liang
719,17,julie.zhou
702,17,julie.zhou
703,17,julie.zhou
634,17,julie.zhou
635,2762,Celia.Liang
712,17,julie.zhou
637,17,julie.zhou
698,17,julie.zhou
701,17,julie.zhou
641,17,julie.zhou
641,2005,ivy.wang1
662,17,julie.zhou
469,2762,Celia.Liang
922,7352,chEEmmett.Wang
906,7352,chEEmmett.Wang
886,7352,chEEmmett.Wang
884,7352,chEEmmett.Wang
858,7352,chEEmmett.Wang
837,7352,chEEmmett.Wang
577,7352,chEEmmett.Wang
577,2762,Celia.Liang
924,7352,chEEmmett.Wang
746,7352,chEEmmett.Wang
746,2762,Celia.Liang
